GeneName	RMS.FPNormalsStatus	RMS.FNNormalsStatus	EWSNormalsStatus	ASPSNormalsStatus	DSRCTNormalsStatus	HBLNormalsStatus	MLNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	NB.UnknownNormalsStatus	OSNormalsStatus	SSNormalsStatus	TeratomaNormalsStatus	UDSNormalsStatus	YSTNormalsStatus	WTNormalsStatus	CCSKNormalsStatus	RowSum
NR6A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
FOXH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
DRGX	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NR0B1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HOXD12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SIX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
OTP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
OLIG3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZFP42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
HES7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HOXC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HOXC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
MAFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ZNF93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
WT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
MIXL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
FOXD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
FOXD4L3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZNF676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DMBX1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
HOXC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SP5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ONECUT3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
SCRT2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SP9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SALL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
SPIB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ARX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHTF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRAMP1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEAD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAP2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLXIPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIVEP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR1H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR1H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU2F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARNTL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKZF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BARX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZIC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFE2L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF280C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC3H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHRR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFXANK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU1F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMG20B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PITX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RORA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZXDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SREBF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF37A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOSL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RARB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNOT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRHL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYNN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAP2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFHX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRFIP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKZF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIVEP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC5L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MZF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGXB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBED4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKBIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VSX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNF4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADNP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCFL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMEB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADNP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOXF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSC22D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFAT5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTCF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SALL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKBIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RELB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R13L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OVOL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEIS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIER2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EVX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZKSCAN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOBOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU6F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLIS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TADA2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBTF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNF1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFKB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WHSC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBTB16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRNP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NANOG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
